Iteration,wins,loses,draws
77750,24,0,26
77800,30,0,20
77850,22,1,27
77900,29,0,21
77950,20,1,29
78000,27,2,21
78050,25,0,25
78100,28,1,21
78150,21,0,29
78200,25,1,24
78250,26,0,24
78300,33,1,16
78350,23,1,26
78400,24,1,25
78450,23,2,25
78500,20,1,29
78550,24,1,25
78600,24,2,24
78650,27,0,23
78700,27,1,22
78750,16,1,33
78800,19,0,31
78850,26,0,24
78900,25,1,24
78950,28,1,21
79000,21,0,29
79050,24,0,26
79100,24,1,25
79150,26,0,24
79200,19,2,29
79250,23,0,27
79300,27,0,23
79350,22,1,27
79400,29,1,20
79450,25,2,23
79500,22,1,27
79550,25,1,24
79600,21,2,27
79650,24,1,25
79700,18,1,31
79750,24,0,26
79800,26,1,23
79850,24,1,25
79900,27,0,23
79950,24,1,25
80000,25,0,25
80050,26,0,24
80100,15,0,35
80150,21,0,29
80200,18,1,31
80250,20,1,29
80300,26,1,23
80350,25,2,23
80400,24,0,26
80450,24,1,25
80500,27,2,21
80550,23,2,25
80600,22,0,28
80650,30,0,20
80700,25,1,24
80750,26,2,22
80800,25,2,23
80850,21,2,27
80900,22,0,28
80950,25,1,24
81000,23,1,26
81050,20,0,30
81100,26,2,22
81150,29,0,21
81200,20,1,29
81250,24,1,25
81300,29,0,21
81350,24,1,25
81400,23,0,27
81450,20,0,30
81500,25,0,25
81550,26,1,23
81600,23,0,27
81650,22,0,28
81700,21,1,28
81750,26,1,23
81800,24,0,26
81850,18,2,30
81900,23,1,26
81950,23,0,27
82000,23,1,26
82050,20,1,29
82100,25,0,25
82150,15,1,34
82200,25,0,25
82250,16,1,33
82300,26,1,23
82350,25,0,25
82400,20,1,29
82450,27,0,23
82500,31,2,17
82550,20,1,29
82600,28,1,21
82650,29,0,21
82700,21,0,29
82750,18,2,30
82800,24,1,25
82850,26,1,23
82900,19,0,31
82950,27,0,23
83000,20,0,30
83050,33,1,16
83100,29,0,21
83150,20,0,30
83200,23,1,26
83250,27,0,23
83300,22,0,28
83350,21,2,27
83400,20,1,29
83450,23,0,27
83500,22,2,26
83550,24,1,25
83600,25,1,24
83650,20,0,30
83700,24,1,25
83750,27,0,23
83800,20,0,30
83850,27,0,23
83900,24,0,26
83950,21,1,28
84000,21,1,28
84050,27,1,22
84100,27,0,23
84150,21,1,28
84200,17,1,32
84250,22,2,26
84300,21,1,28
84350,28,1,21
84400,23,1,26
84450,19,3,28
84500,15,0,35
84550,25,1,24
84600,21,2,27
84650,22,0,28
84700,25,0,25
84750,26,0,24
84800,30,2,18
84850,25,1,24
84900,21,1,28
84950,18,0,32
85000,22,2,26
85050,27,0,23
85100,17,1,32
85150,25,2,23
85200,18,2,30
85250,25,3,22
85300,31,1,18
85350,25,0,25
85400,17,1,32
85450,24,0,26
85500,27,1,22
85550,19,0,31
85600,22,1,27
85650,29,1,20
85700,20,3,27
85750,19,3,28
85800,23,3,24
85850,18,1,31
85900,23,0,27
85950,27,1,22
86000,23,0,27
86050,26,1,23
86100,24,1,25
86150,18,0,32
86200,27,0,23
86250,25,1,24
86300,23,0,27
86350,19,1,30
86400,19,1,30
86450,22,0,28
86500,23,1,26
86550,21,0,29
86600,23,1,26
86650,21,1,28
86700,30,0,20
86750,29,1,20
86800,22,1,27
86850,22,0,28
86900,21,0,29
86950,20,1,29
87000,21,1,28
87050,17,2,31
87100,22,3,25
87150,20,4,26
87200,20,0,30
87250,21,0,29
87300,22,1,27
87350,21,1,28
87400,28,2,20
87450,25,0,25
87500,26,2,22
87550,21,1,28
87600,23,1,26
87650,22,1,27
87700,26,1,23
87750,19,0,31
87800,20,1,29
87850,17,0,33
87900,22,0,28
87950,30,1,19
88000,20,1,29
88050,24,1,25
88100,22,0,28
88150,21,1,28
88200,17,2,31
88250,23,1,26
88300,21,0,29
88350,24,0,26
88400,22,0,28
88450,29,0,21
88500,22,0,28
88550,22,0,28
88600,23,1,26
88650,23,1,26
88700,26,0,24
88750,28,0,22
88800,28,1,21
88850,23,0,27
88900,24,1,25
88950,22,0,28
89000,24,1,25
89050,33,3,14
89100,24,1,25
89150,17,0,33
89200,24,2,24
89250,29,1,20
89300,27,1,22
89350,17,1,32
89400,26,3,21
89450,27,0,23
89500,24,1,25
89550,24,1,25
89600,18,3,29
89650,26,1,23
89700,24,1,25
89750,22,3,25
89800,17,2,31
89850,28,0,22
89900,25,0,25
89950,21,1,28
90000,25,0,25
90050,30,0,20
90100,21,1,28
90150,18,0,32
90200,25,1,24
90250,21,2,27
90300,23,0,27
90350,18,1,31
90400,20,0,30
90450,23,1,26
90500,20,1,29
90550,25,0,25
90600,24,2,24
90650,23,0,27
90700,26,0,24
90750,23,0,27
90800,21,3,26
90850,24,3,23
90900,17,1,32
90950,27,1,22
91000,26,0,24
91050,26,0,24
91100,22,0,28
91150,19,2,29
91200,24,1,25
91250,22,1,27
91300,26,0,24
91350,26,0,24
91400,18,2,30
91450,22,0,28
91500,21,1,28
91550,22,1,27
91600,19,1,30
91650,25,2,23
91700,29,0,21
91750,17,0,33
91800,19,0,31
91850,19,1,30
91900,24,0,26
91950,20,1,29
92000,23,2,25
92050,21,1,28
92100,21,1,28
92150,23,1,26
92200,24,1,25
92250,22,1,27
92300,28,0,22
92350,19,0,31
92400,20,2,28
92450,25,0,25
92500,21,0,29
92550,23,2,25
92600,29,0,21
92650,23,0,27
92700,22,0,28
92750,24,0,26
92800,24,2,24
92850,23,2,25
92900,21,1,28
92950,23,1,26
93000,21,1,28
93050,22,1,27
93100,28,1,21
93150,20,0,30
93200,19,2,29
93250,24,0,26
93300,25,1,24
93350,24,0,26
93400,29,0,21
93450,28,0,22
93500,19,0,31
93550,21,0,29
93600,24,0,26
93650,26,0,24
93700,19,1,30
93750,19,2,29
93800,24,1,25
93850,22,1,27
93900,17,1,32
93950,23,1,26
94000,23,0,27
94050,24,0,26
94100,31,1,18
94150,23,0,27
94200,19,2,29
94250,20,0,30
94300,20,1,29
94350,21,0,29
94400,14,0,36
94450,22,0,28
94500,19,2,29
94550,25,1,24
94600,22,1,27
94650,19,0,31
94700,22,2,26
94750,15,1,34
94800,24,0,26
94850,27,1,22
94900,20,0,30
94950,21,1,28
95000,28,2,20
95050,20,1,29
95100,18,0,32
95150,25,1,24
95200,25,0,25
95250,28,2,20
95300,22,1,27
95350,25,2,23
95400,25,0,25
95450,20,1,29
95500,23,0,27
95550,21,1,28
95600,20,0,30
95650,24,0,26
95700,27,0,23
95750,25,1,24
95800,24,3,23
95850,26,0,24
95900,25,1,24
95950,25,0,25
96000,21,1,28
96050,23,1,26
96100,26,1,23
96150,28,0,22
96200,23,1,26
96250,22,0,28
96300,21,1,28
96350,26,1,23
96400,24,1,25
96450,25,3,22
96500,19,0,31
96550,32,1,17
96600,27,1,22
96650,24,2,24
96700,16,1,33
96750,23,0,27
96800,23,1,26
96850,20,0,30
96900,20,1,29
96950,19,3,28
97000,25,1,24
97050,23,0,27
97100,25,0,25
97150,26,0,24
97200,15,2,33
97250,22,0,28
97300,26,0,24
97350,20,0,30
97400,23,2,25
97450,18,1,31
97500,22,0,28
97550,19,1,30
97600,21,2,27
97650,21,1,28
97700,22,0,28
97750,18,0,32
97800,24,1,25
97850,19,1,30
97900,13,1,36
97950,28,0,22
98000,25,0,25
98050,28,1,21
98100,20,1,29
98150,27,0,23
98200,23,3,24
98250,24,1,25
98300,28,0,22
98350,25,1,24
98400,22,0,28
98450,28,0,22
98500,22,0,28
98550,22,0,28
98600,17,2,31
98650,22,0,28
98700,21,2,27
98750,22,0,28
98800,22,1,27
98850,19,0,31
98900,24,2,24
98950,22,0,28
99000,25,1,24
99050,22,1,27
99100,19,0,31
99150,27,1,22
99200,28,0,22
99250,21,0,29
99300,28,0,22
99350,19,0,31
99400,24,1,25
99450,18,1,31
99500,22,1,27
99550,27,0,23
99600,19,2,29
99650,13,2,35
99700,26,0,24
99750,13,2,35
99800,24,1,25
99850,26,0,24
99900,29,0,21
99950,23,2,25
